,4.0 out of 5 stars,5.0 out of 5 stars,3.0 out of 5 stars,1.0 out of 5 stars,2.0 out of 5 stars
6,,,"Slow as the previous iteration I had a Fire HD 8 (2017) which I traded-in for a discount on the new Fire HD 8 Plus.  I was disappointed that there wasn't much difference in performance.  It's good for a first time owner of the Fire HD 8.  However, if you have the previous iteration of the Fire HD 8, I'd say hold onto it until a much better version comes out.",,
7,,,,,Slowwww Very slow. Not many compatible apps
8,,Great price for what I need. This is perfect for what I want. I like tablets for reading and streaming.  Price was on special so was 1/4 the price of an iPad.,,,
9,,My grandson is enjoying his tablet very good tablet I'm not on the tablet so I'm not sure how long battery time but if it's anything like the tablet I'm sure it's good,,,
0,,"Great machine! This is my fourth kindle!  The price, the capabilities, and the super Amazon support can't be beat!!",,,
1,,,"The screen could be more up-to-date Wish they had a screen about 1"" larger. The 10"" model is too large for comfort and this one is too small. TThey could also shrink the border, seems like a bit of wasted space. The older Fire models were the right size, however, some applications no longer work with the older operating system. Other than that, I like the amazon fire products.",,
2,Upgraded New Kindle I upgraded from an earlier kindle. Terrific features and convenience.,,,,
3,,"Perfect! This is perfect for me! The screen is the perfect size, it’s easy to use, the battery life seems like it lasts forever. It’s lightweight so I don’t have a problem when reading in bed. I love it!!!",,,
4,,,"Disappointed. Very disappointed as it appears not to be able to download email. It does only when ""it feels like it."" One of the reason I bought it was because my older version ""ran out of memory."" I bought the most memory available and it only allowed downloads for a few days.",,
5,,Like it!! I like it very much so far!  Not as slippery as other models and not too heavy.  Everything is working well.,,,
6,,"Sharp as a nail! Absolutely love it! Battery lasts for days, screen size is just big enough and perfect for reading. The extra RAM is worth it, faster processing.",,,
7,,"Great Deal The one thing I feel could be improved would be having the buttons raised a bit, for easier access in the dark. Other than that, the Fire is all I expected it to be, and it works great.",,,
8,that it won't freeze up on me don't dislike anything,,,,
9,Wonderful product. For the most part. I have a hard time connecting with internet.  It won't connect to modum.,,,,
0,,Why shut down?? If I'm interrupted and I leave machine machine shuts down and I macro restart from scratchIt is much smaller than my previous kindle or,,,
1,No whassap Es ok no se puede instalar whassap,,,,
2,tablet it is ok,,,,
3,,"This is my 7th Fire. My first one still works, just ran out of storage! I use the Fire for my personal pleasure. I read a lot of books and play games. I especially like the cordless charger.",,,
4,Fire HD Fairly new still learning the HD,,,,
5,,"Quality/Speed By adding an SD card, you have everything you need to watch videos, access email,etc.  The only small negative is the on/off button is too close to the volume buttons.",,,
6,,,Still learning how to use it. Still learning it.,,
7,tablet a little hard to navigate,,,,
8,,"Wonderful multimedia (toy) tool. I use my Kindle HD 8 plus like I use my laptop, for nearly everything. Reading, email, Facebook, videos, and music. I like that it is connected to Amazon for easy book picks and more.",,,
9,,,A little clunky. Overall I’m pleased with the purchase as it serves the purpose of entertaining my 3yr old while her big sister is trying to do schoolwork on the computer. Switching between apps and pages seems a little clunky though. The tablet has a pretty noticeable delay from swiping to the new page loading.,,
0,,"Great tablet Just wish the screen protector included was non-glare, for reading outside.",,,
1,,Perfect tablets This my 5th tablet from Amazing Amazon..all the kids and grandkids have them..price point is perfect and whenever there is a problem..Amazon stands behind them.,,,
2,,"Perfect tablet for my kid Got this for my 7 year old for Christmas. He loves it. Watches movies, plays games, watching YouTube. Battery last pretty long especially as much as he uses it.",,,
3,great for my kid Very easy to use and he really loves it,,,,
4,,"Loving it! I received the Kindle 8 Plus as a birthday gift and I am absolutely loving it.  So much faster than my old one and just slightly bigger, not too big, not too small.  I am also loving the wireless charging dock.",,,
5,,"Need too be able to down Books For reading books, but can’t because my husband is on my Prime account with a different phone number.  It was a birthday gift for him!!!",,,
6,,Grandson Loves This Got this for 12 yr old Grandson for Christmas. He loves it. It has worked perfect for him. He said it stayed charged for a long time.,,,
7,,Love it Battery stays charged longer. Nice screen.  Like the ability to lock it. Like the availability to use Alexa.,,,
8,,Best value tablet! This tablet is great for what I need which is mainly streaming and watching videos! Video quality is great and no better value for the price than this tablet!,,,
9,,Best tablet I ever owned! The stereo is awesome for the size and price.  Not the best battery. Side loading Google play makes this tablet a cheap beast! Powers through all my app no effort.,,,
0,Great In Every Way I am enjoying my 8 HD Kindle Fire lots.,,,,
1,,Better than expected I purchased this with the charging stand and it made all the difference for me. I don't have tp mess with the plug on the side.The battery life for me is about twelve hours with continual use.,,,
2,,"Gift to me from me So far I love everything - Kindle, Solitaire, but I am still learning the many possibilities. The visual quality is great! Also purchased a cover which I would recommend to keep the screen protected.",,,
3,,"Great quality I'm really happy with my new tablet. It is much faster and has good quality when viewing videos, movies, etc.. My games also work great on this tablet!",,,
4,,"Great buy Great, I love it is easy to operate and nice size for me.  Large sheen makes it easy to read, bright is great in the dark.",,,
5,,"Works very well Works very well as replacement for an older fire tablet that would no longer charge.  Charging dock is perfect for autistic grandson, makes charging easy for him.",,,
6,,Continues to carry on excellent performance as the previous models did. Battery life is even better than previous models. (This is my third model). Love my kindle!,,,
7,Fire Tablet Good machine but a little slow. Not as reactive as other tablets.,,,,
8,,Worth the upgrade It's just a little larger without being too large still fits in a medium hand bag for travel.,,,
9,,I like it for what I use it for Reading!!! I have none at this time.. maybe battery  doesn't work as well as 1st addition. I don't have many app or videos just mostly read. And it is using alot for reading  than used to..,,,
0,Pretty good I just starting using the device. So far so good.,,,,
1,Fire 8 Tablet Have not used all the features but have enjoyed the features that I’ve used.,,,,
2,,"Very pleased with quality & function. I love it. The size is good, the weight is good & screen quality is great. The battery seems to last a long time. I am very happy with it.",,,
3,,,,,"It is already not working, it will not even charge up and I  have not had a month The workman ship, have not even had it a month and it is already not working. The kindle fire will not charge up, and now you have to go through an act of congress to Return the item, or try to have them fixit or, etc. etc.  this is crap."
4,Love Perfect,,,,
5,,So much better Great!  Clearer and faster than my 8 had been.  Sure amen enjoying! Kindle Fire 8 hd plus is so much clearer and faster!,,,
6,See above comment Do not have set upAs have no directions. Do have one lbook which I amtrading.,,,,
7,,Fire Just what I needed. Screen is clear battery last longer and with 64 MB allows me to store more books,,,
8,,Perfect - Just what I wanted/needed Easy to set up - easy to use.  Sorry I waited so long to purchase one.,,,
9,,Best kindle so far I am amazed how long the battery lasts compared to my kindles in the past. I watch movies and listen to audiobooks every night and I can go days with charging.,,,
0,,"Love my Fire 8 Plus I have purchased multiple Kindle/Fire devices over the years and this one is my favorite, to date. Perfect size and cheaper than an iPad.",,,
1,I didn't focus on the screen size which could have been larger. The ease with which I was able to setup the Tablet was excellent!,,,,
2,,"Charge life Perfect device for my Granddaughter she uses for games, keeping in touch with her friends and family, especially her classmates she miss in school dur to the pandemic",,,
3,Good fire tablet Great product!,,,,
4,,"RAPIDEZ Y ESPACIO Me encanta la rapidez que tiene este modelo, y la capacidad de almacenamiento, muy buena resolucion, y la duracion de la bateria. Me gustaria que los nuevos modelos pudieran tener datos moviles eso haria mas funcional el dispositivo.",,,
5,,,"Good tablet but poor performance The tablet is perfect to read books, watch shows/Movies and listening musics. The sound quality is average and the depth is too low. The Browser performance is not good for roaming around the internet, so people surfing internet should avoid it.The number of supporting Apps are not much and the quality of the Apps are not good. The tablet should try to support all the Android apps.",,
6,"So much enjoyment in one device! Excellent product-Very happy-satisfied Kindle owner for books, music , audio and videos!",,,,
7,,"Great for reading I mainly use my tablet for reading, and ordering from Amazon. I like the screen size, small enough to put in my purse, but big enough to see to read",,,
8,,Lovin my fire 8 had plus! Had a kindle for 10 yrs now.  Absolutely love it.  Upgraded from a Fire 8 HD due to using up all my memory.  But still wanted my kindle to fit in my purse.  I take it everywhere.,,,
9,,LIGHTWEIGHT I have a 2 year old Fire HD 10 tablet I use. It still works great but I wanted a lighter weight for reading. I find I use the new Fire 8 plus for more than reading now. Its fast and long battery life. Glad I got it.,,,
0,I have no ideal To listen to music,,,,
1,,"Best tablet for the money! Best tablet I've ever owned. Perfect size, perfect battery life and perfect screen resolution. Best tablet for the money. Able to be productive and chill at the same time.",,,
2,,I love all the different uses. This is a perfect size and I love being able to read on the kindle.  I also love downloading game apps.,,,
3,,Awsome for the price My lady has a I products im always cursing as she needs me to fix them.  They cost hundreds of dollars.  This wasnt even one hundred and its running better then her $1200 I crap.,,,
4,,Love my fire tablet!! I use this for reading books on and to play a few games. Great tablet and just the right size to toss in my purse. Love my fire tablet!!,,,
5,,Visual quality is great Definitely an upgrade from my older Fire 7. Love the way the screen looks and the fact that it is so much bigger. At least it seems soooo much bigger.,,,
6,,Perfect in price and quality and suits my needs. I've had  n iPad and Samsung Galaxy.  Both are excellent devices.  But this is my second Fire HD.,,,
7,,"Best. Amazon Tablet. Yet! Smooth operating over previous generations. Can't beat it for the price too. The camera is still the most lacking part of the tablet but who is taking that many photos with a tablet versus their phone. (which BTW, Amazon give us a Fire Phone 2!)",,,
8,,,,"Was expecting a real table. I bought the tablet mostly to view/edit photos from my ""Google photos"".  After an hour of troubleshooting by the fire tech team I found out that my fire HT 8's programing prevents my from downloading the app and accessing the 11,000 photos saved to Google photos.  They wsnt my to buy cloud space from them  I will return the product and buy a ""real"" tablet.  So very disappointed.  I do not recommend buying this (dedicated to amazon) tablet unless you are already storing your photos on their cloud.",
9,,,,,"The worst kindle I've owned so far. I've had many kindles in my lifetime. This is 3rd Fire I've bought. While price/quality/features ratio can be justified, I have told myself that this is the last kindle I will ever buy.  The default screen and shortcuts have been modified to the point that I can't find apps in places I normally would. The kindle does not work well w/o wifi. As in - it freaks out and demands wifi to ""finish set up"" even though it has been set up months ago. I can go on and on. Splurge and buy a normal tablet or (if you are buying it just for reading) buy a cheaper version just for reading and do not bother with a Fire."
0,,Good value This tab is faster and comes with USB C which fits all my currant chargers. I also charges inductively.  For the money you can't beat it.I installed Gmail and the google play store so I could get my email and use my chrome browser. Very happy.,,,
1,,,,,"New but yet defective After having a few days, the ""new"" Fire 8 Plus tablet I received started to freeze while I was reading books on it. I was unable to turn pages without turning the unit off and then restarting it. It became worse each day to the point I decided to return it. I'm lucky I have an I-pad Mini 4 to use as a backup; at least it doesn't freeze up while reading with it. I preferred the Fire, but it was the third Kindle I had, starting with a paper white (died 2 years use); Fire 7 (died 2 1/2 years use). Then the Fire 8 Plus, with only a week or so use and starting to freeze up. Not a very good track record for the Kindle, so I-pad mini 4 it is for me."
2,,Great Value I feel like I really got my money's worth with all the features on this tablet. It is simple and easy to setup and use. I am REALLY enjoying it!,,,
3,Battery life Battery only lasts about 8 hours,,,,
4,,Great battery life! the new HD8 has great screen quality and battery life. I usually get 12-13 hours reading in on one charge.,,,
5,,Always a winner I love my Fire HD.  this one is great because it has a wireless charger.  so nice. just set the kindle on it and it charges.,,,
6,It met my expectations It worked as advertised,,,,
7,,Love Having my own. I was confused by what Slate meant but the item was and is what it is. I love my Kindle..My Kindle...always got it for someone else but never had my own. Its Fire! Thank you!,,,
8,,I love the expanded capabilities. I am really enjoying my Fire. This is my 3rd one and they just keep getting better.Wanda,,,
9,Need little more Needs a litter bigger softwhere platform more android frenidly,,,,
0,It’s all good It’s all good,,,,
1,,"Would buy again I really like this tablet, have an older version & this one is so much better. Love the wireless charging station plus the speed",,,
2,,Good purchase so far I love the tablet.. I mainly use it to read of my kindle books account but Netflix and Hulu work perfectly. The sound and picture quality is good,,,
3,,Great for reading This was a replacement to my Kindle of over 20 years old... Much faster and has a lot more to offer,,,
4,,,Tablet freezes up. I am having problems with the tablet freezing up during games and reading.  I have to close it down then turn it back on again.  Sometimes that works sometimes it doesn't,,
5,,For a first timer this is such a great device. The battery  has been very  good this far in my viewing many books on line.,,,
6,,Very nice Up to date,,,
7,,Great tablets! Bought two for the kiddos and it has been several months later and still holding up great.,,,
8,,,,,Got this tablet two months ago and it no longer works I got this tablet two months ago and it no longer works. I wanted one with the special charger for my autistic child because he’s damaged other tablet charging  ports and this prohibited it from having a special case to protect from drops so I bought the only case I could find that would work. It stopped often while he was playing and he dropped it  and the screen shattered and it is unusable in many fragments with lines running through the screen. We will be buying only kid tablets from now on.
9,,The best one yet. I love the Fire HD 8 plus. The battery has a good life and doesn't hesitate to perform when it is low. Worth every penny.,,,
0,,Fire HD 8 Plus I was amazed at the ease with setting it up had already been synced. I like the way all my books are easy to access and the lighting for reading is great.  The wireless charging is an added plus. I feel it is worth the price.,,,
1,,Quality is great Works great,,,
2,,"I love it! Except... I wish screen brightness was little more than what it is besides that I love it so far!  Battery life is good, it’s fast and very responsive.",,,
3,,Nice Just like my previous tablets. The only thing I don't like is the on off button and volume buttons on the top left side.,,,
4,enjoy the size,,,,
5,As expected Works as expected.,,,,
6,,"Perfect My new kindle, my 5th over the years, has a great resolution and perfect size 🙏👍",,,
7,,Great for price. Using it to write this review.  It works. LOL.Was not able to download bookmark from old Ipad.  Maybe had something to do with operator not IPad.,,,
8,,Very pleased with my new fire HD8 plus. Liked the picture quality very much and the touch screen was very good. Battery life is much better than my old hd fire 7.,,,
9,Great reading experience Reading selected books,,,,
0,,Great Price and quality! Easy to carry anywhere with you. Great screen quality and long lasting battery.,,,
1,,Very good product I traded an older tablet in for this one and I'm glad I did. It works very well and I am quite pleased with it. Getting the maximum memory available was worth the extra cost.,,,
2,,,,,"It works but the browser is crippled. Also, won't xfer files They only allow one browser, their own, and it's nearly useless since you can't import passwords, even with a HTML file. All my important sites have long, special-character passwords, and I'm not going to copy them all to put in their crappy browser. Let us get Chrome so I can use my passwords again. Also, I tried xferring some training vids and it won't connect to windows 10 and its dropbox app has no download feature. Useless for training vids, which was a major reason for getting it. It's good for a toy, I guess."
3,,,"Can't play the game I upgraded for I upgraded to newer model for more features. However, this mode also doesn't support the one website I want to use. It's called""Real Mah Jongg online"". It did load and worked originally, but stopped after a short time. Really frustrated.I also find navigating on this model more difficult. And the brightness level fades and brightens on its own.",,
4,,Great Device for Using Amazon Prime I like the ease of using my Prime Account. Overall it is a great device for accessing Amazon.  Would buy it again at this price.,,,
5,,Don't hesitate to purchase What an improvement from all the prior kindle fires-  Battery life is great- screen quality is good - easier to find things - love the way it powers off  -very convenient.Would recommend it,,,
6,,"Tablet This tablet works very well and I take it everywhere when I travel,  to see shows and emails.",,,
7,,"To sum it all up it is great and worth it I really like the HD8 tablet it is faster.screen quality is excellent, I have two other tablets but this one is the best out of them all",,,
8,,"A beautiful Tablet for a great price. Very responsive to a person no matter the age. Received my HD 8 plus today, 6/23.  What a great improvement over my old fire which I will send tomorrow.I am watching opera from Italy.  The sound is pure and beautiful.  Great product for the money. Expect to enjoy for many moons.William",,,
9,,,,"Broken within a year This device broke less than a year after we got it. Amazon does not stand by their produce and will be not repair the device. It does not charge or turn on. Their only option is for me to receive a discount on purchasing another one. Which doesn't make sense because 1. I can't afford a new one and 2. I am now scared it will break outside of their 90 day warranty replacement. Apple has a better warrant policy. It is almost worth just having up money to buy an iPad that I know will be covered. They refuse to help or let me send it in for repair. I appreciate Nisar Ahmad (who ""helped us"") ofter a discount on a new product, but it defeats the purpose. So BEWARE buying this or any other amazon product. If it breaks 91 days after you by it, you are SOL.",
0,,You won't regret buying I've always had a kindle. I love this one. I'm hardly on my computer am usually on kindle or phone. I did add Google Play to it. Now best of both worlds. Lol.,,,
1,,,,,"Don’t fall for the trade-in scam! My old Fire 8  was a couple of years old, and seemed a little slow, so when I saw Amazon was offering a $25 trade-in credit, I decided to take it. It was in perfect condition, and charged with no problem, so given the option of taking $10 if they didn’t like it, I asked for it to be returned. I even charged it fully before I shipped. I guess I shouldn’t have been surprised when Amazon said that it wasn’t holding a charge and they were taking back the credit, but I was. Incidentally, I still haven’t gotten my old Fire backHere’a the kicker: the “new” Fire 8 is barely an improvement."
2,,"Love my new Kindle 👍👍 I liked everything about it. A very good upgrade. Battery seems to last for hours and hours, even after playing games, coloring and using the internet on and off all day. I’ve always liked IPads better, but this Kindle is comparable to my newest mini IPad.",,,
3,,Does not operate right Screen keeps sliding back and forth just started this can I return and receive new one as I do love it but hard to reaf,,,
4,,,"Advertising tablet! The product does what is suppose too. In my personal opinion it’s just too much advertising on it. I just didn’t like that. I wanted this for me and my kids but afraid they could accidentally make a purchase. I didn’t want to go thru all of that. Just like I said the product works as it should, no complains.",,
5,Love Love it!,,,,
6,,"Great for so many uses and affordable. It’s perfect. I use it when I can’t walk outside and use the elliptical to watch programs. I use it for many things. Love the size, the picture, and sound!",,,
7,With the $30 off sale price for this hd 8 plus you can't go wrong. I liked most everything.I think volume could be better. App choice could be better.,,,,
8,,"Great small tablet This is a great tablet for a lot of uses. I use mine for recipes, games, reading, looking up items etc.",,,
9,,"I love this tablet I am a long term user and buyer of this table, for myself and as gifts to friends & family.  Buy one for yourself.",,,
0,,Reading without a headlamp. I love my new fire. I use it for reading in bed. I have a couple games I like. It fits me well.,,,
1,,Great I love this. I had the 10 and it was a little big. I use for reading and the 8 is the perfect size.,,,
2,,Bought this as a present for my wife and she loves it Wife loves it. Her old iPad was giving her problems and the Fire HD makes her happy,,,
3,,Love it I traded in my Fire 10 I bought a couple of years ago for this Fire 8. I like it so much better because it’s much lighter and perfect for reading.,,,
4,,Great Product This is like my 8th kindle I love them all but battery life on this one seems much better than my past kindles,,,
5,,Not too bad Smaller than we thought the screen would be after the edge takes up some space. It’s not a bad tablet overall,,,
6,,Good product Great project product easy to use. I used it as a reading and bible study helper,,,
7,,,,,2 stars only since screen cast from Android phone doesn't work Can't screen cast from android phone.  Was going to use as 2nd screen so I can see directionsIf that is what you're looking to do then get an Android tablet
8,,Best out of 18 I've had over the years Love the battery life overall.  Other features are similar as far as touch screen and quality,,,
9,,Amazing(zon) improvements This is my third upgrade/replacement for my Kindles over the last 10 years or so. They last a long time and the improvements are worthwhile and competitively price points,,,
0,"Wireless charging station, great battery life... I would have given 5 stars but that leaves no room for improvement.  Love my new reader",,,,
1,,love it! It took some getting used to after my kindle fire 7 HDX.  I am happy with it.,,,
2,,,"Great for Amazon content -- No Google Playstore The tablet itself is nice, sharp picture, great size. Works well for viewing entertainment from Amazon. However, very unhappy with the limited software choices because Amazon does not let it connect to the Google Play store and that they force you to use the Amazon Appstore.",,
3,,,"Alexa, where am I? Florida. ... Alexa I am in Pennsylvania! That is correct. Huh? Rather liking Alexa, just wish she would stop saying i'm 1500 miles from where I actually am. Customer service was great and sent me a new tablet but that didn't fix the issue and the tech support guys that are supposed to call me never did.",,
4,,love the battery life I love this kindle. It charges fast has great battery life. I got the 64bit. It loads fast.I would definitely recommend it,,,
5,,"Highly recommend The placement of the power button is taking time to get used to but I love my Kindle.  I own five of them because I can use them for gaming, reading, surfing the web, sharing with family, etc.",,,
6,,Buy it It’s perfect it actually keeps a charge well.. I use it a lot and the camera n video are amazing,,,
7,,Muy buena Encantada!Muy buena calidad..,,,
8,,"Fire versus Kindle - Both Good I am getting used the screen. More glare than the Kindle paper white. I do like having access to apps, etc. which wasn't possible with Kindle. The Fire requires changing more frequently in comparison to Kindle.",,,
9,,"Very satisfied Very affordable, great performance. I mostly use it for reading but it runs smoothly in all my apps and I only have to charge it once or twice a week",,,
0,,"Amazon Fire is super good if you're thinking of buying it I would I'm not real good with technology , but my Amazon Fire is easy to use. The battery life is phenomenal ,and I just love the touch screen. Buy it !!",,,
1,,,,"Speakers defective Beware the Shoddy Speakers!Purchased this as a gift for my mother-in-law in late December and received it January 3. She takes very good -careful care of all of her technological devices, so this Fire tablet never got wet OR was mishandled in any way.In Early March the speakers stopped working,completely. After four hours on the phone with tech support, and a reset and restore- The speaker still don’t work and they are not honoring the warranty that I purchased.Even without the faulty technology, be aware that even when you purchase the non-ad supported version, all this tablet does is push Amazon apps -Amazon music- Amazon store- Amazon Alexa.The screen is neither bright nor non glare- in fact it’s quite reflective when you look at it in any kind of light.The battery level wasn’t bad as long as you weren’t using video or messenger or anything streaming over the Internet.I suppose for $125 it’s OK, but why not spend a little bit more and get some thing that might last you six months.",
2,,,It is not the best it is far more complicated than my  3rd fire and I still cannot get games.  It took over 5 hours and four different people over three days just to get it activated.  NOT HAPPY,,
3,,,"On/off button On/off button in inconvenient location.  Reading mode, font is smaller and not as sharp.  Don't like revision of games, books, Library..  Very tedious to search for my games, books.  Too much clicking",,
4,it dose it i did not use it  but she dose day and night,,,,
5,,excellent kindle I love to read and this gives me the option to take many books where ever I go. It's very easy to use and one of the best models yet.,,,
6,,,,"No Power nor Backlight As with many Kindle devices, this FIRE HD  Plus' backlight went black.  I followed all the normal procedures for ensuring battery was fully charged, and then took normal steps by pressing power button until device was truly off.  Hit power button, all I got was no light but slightly visible time showing in light grey.  Tried many times but nothing worked.  Called Amazon tech after waiting a lifetime for them to answer.  Explained the issue, they said they understood, please hold and I will be back shortly to help you.  Finally, after 10 min on hold the line went dead. Par for the course in my many years dealing with Amazon.  Of course, no call back.  This device is literally the lifeblood for my 102 year old mom.  She is deaf and has very poor hearing, but with the kindle letters large, she can read, and she can play (very well) the games... all day long.  Now what?  I'm sure Amazon will delete this review as they have with others, when they are critical of Amazon.",
7,,"Very nice tablet! Very nice tablet! Quality is great, battery life is really great..can work/play for several hours before needing to charge! I'd recommend it for a tablet at a good price!",,,
8,,Battery life is unbelievable I really love everything about this.  The battery life is just unbelievable.  My old Kindle was only lasting a couple of hours per charge.  This one goes way beyond 12 hours.  Screen is clear.  Just perfect!,,,
9,,My second Fire 8HD. Great enhancements My second Fire 8HD. Great enhancements the 10th generation is a great device. I use it everyday and it has filled needs I was not ware I had.  Thanks for the upgrade.,,,
0,,"Love! This is for my daughter, upgrade from kids fire 7 2015. She loves it. It's so much faster, she doesn't get stuck anymore! Also charging and battery life is so much better!!",,,
1,,Love it Love it,,,
2,Great tablet Great for streaming and gaming,,,,
3,,"Great tablet for price Good screen quality,great battery lifeGreat table for the price I like that the 3gig ram makes for a faster smoother response than the 2gig fire tablets I already have",,,
4,,I love Fire tabs! It was a great buy. I got this for my mom to facebook and shop or play games and stuff. It is fast and She love it. I want one myself.,,,
5,,"nice upgrade much faster than my old kindle, and highlights in online books remained, unlike last time i updated.",,,
6,,Kindle 8 spectacular Love readingnon this. It is very easy on the eyes with quality of the screen. It takes a long time for the batterylife to die out,,,
7,Fire HD 8 - Like the features,,,,
8,,"Skip the Fire 7 and buy this one... This is wayyyy better than the fire 7. It is much faster, has more space and way less bugs/issues. It's worth the extra cash.",,,
9,Fire HD I like my new Fire HD but the battery life isn't the best....,,,,
0,,,,"Worst purchase I’ve made, 1990’s SLOW Wanted to use it at work with a stylus and OneNote But the palm ignore feature doesn’t work at all.  Picking up the hand writing is super slow, and not accurate.  So I was going to just use it at home for YouTube but my god this thing is just slow at loading everything.  Guess I should of saved my money towards an iPad.  Never again will I buy a fire tablet.",
1,,"Fast and Clear Love the speed of this new Kindle Fire. Makes my 5th generation Fire seem like a dinosaur. Pages load quickly. Internet browsing is fast. Kindle books, which is what I primarily use is for, look great and load in a flash.",,,
2,,Has Screen glare but works good. Has Screen glare but works good.,,,
3,,"Good entertainment I really like my device, and so does my grandchildren, it's a great entertainment for us.",,,
4,,Fire HD 8 Plus with wireless charger I actually bought this for my father in-law to replace an older tablet charging wirelessly was the main reason because he had so much trouble charging the old fire Screen is smaller but he’s happy with it,,,
5,,"Real good device Nice device! Increased RAM, and i like the wireless charging display. Its similar to having a 2nd Echo Show. I like the wide array of apps. It is a good purchase",,,
6,,"Love, love my new Fire HD Wonderful replacement for my original Kindle Fire. Can't say enough about it. Love the News app especially. A good tool for my work & enjoyment. Battery life so far is great, touch screen very receptive",,,
7,"Very good buy! Nice easy size and weight to handle. Good price.Only black available, need colors.",,,,
8,,"Great tablet Great tablet at a fantastic price. Screen quality is wonderful, battery life excellent and touch screen works perfectly. So easy to use. I'm so happy with this purchase!",,,
9,,New charging system is the best! Love the wireless charging. I have had problems with the plug in charging on other Kindles where either the connection wasn't secure or the cord wires would fray this system totally bypasses those problems and makes charging my Kindle fast and easy.,,,
0,,Great item!! This is my 3rd Fire. I love everything about this Fire. I highly recommend it. I love reading books on my Fire.,,,
1,,fastest ship EVER bought for my husband..he loves it,,,
2,,"Excellent tablet The HD 8 plus is an awesome tablet.  I end up playing games, watching videos, and viewing current TV shows and movies for hours on end. The HD 8 plus provides endless entertainment and it was very economical for all it has to offer.",,,
3,,,Too many apps that need to be paid for. I didn’t like the idea most apps charge a fee unlike my iPad. Also the feature I wanted most for kids was the Utube for kids which on my iPad keeps my little one very occupied. The only thing they sold was Kids for Utube which does work close to what Utube for Kids does.,,
4,Its smaller but better The new port. Its better then the mico plugs.,,,,
5,,"All your ebooks in one place! Great product! I love everything about this device. It’s so much better than I expected, especially since I was able to easily add Nook to its apps.",,,
6,,BEST FIRE TABLET EVER! This is the best tablet I've ever had! I have zero complaints about it! My husband David's cousin Marco bought it for me as a gift! I'm VERY happy with it! Well worth the money! 😉,,,
7,,It does things that I have to do with and maybe down the road all upgrade The good product I do a lot of streaming on it and I I take a lot of pictures very happy with it,,,
8,,"Size & battery life Battery life is amazing! My old fire doesn't last long at all, but it's several years old. Love the updates, just what I needed.",,,
9,,,,,"cannot utilize Fox News app Purchased the Fire HD 8 for my wife's birthday in June.  She was most interested in a device that would give her easy access to Fox News.  She soon discovered that the app was unusable: crashed almost immediately upon opening.  After days of troubleshooting and hours online with Amazon tech support, we have been informed that the app is faulty and we will have to deal with Fox's app developer.  I have no confidence this will lead anywhere.  So my wife is extremely disappointed and we are stuck with a product that doesn't meet our needs.  I believe Amazon has some responsibility to vet 3d party apps before introducing a new product.  This clearly wasn't done in this case.  If you have an interest in Fox News, DON'T BUY THIS PRODUCT!"
0,,,,"Totally worthless. Just a scam-azon marketing tool. This tablet is waaaay overpriced. It's basically not functional except with anything Amazon, which makes it an Amazon marketing tool. Why isn't it free???? It's such a piece of crap. The product description didn't mention that you can't use the Google App store or any other app store. What a joke. This isn't a tablet. Just another reason I call Amazon ""Scam-azon"" instead. I should have bought the Samsung tablet and that's what I recommend you do as well. Now, like with most products on scam-azon, I'm forced to either waste a bunch of time trying to return the junk they sent me, find a use for this paperweight, or give it away so I don't have to look at it every day. Bezos should have accounted for all of the unsatisfactory customer transactions in his last shareholder letter. He'd find the value proposition of scam-azon is much lower. Let's be real, they started as an online book store and that's really all they're good at. Everything else is just brainwashing and hype. Thanks for the worthless piece of junk scam-azon.",
1,,Fifth Kindle/Fire I have been using Kindles or Fires for years and each one is a little bit better than the last.  I am very pleased with my new Fire 8 Plus.  Resolution is great and everyone should have one!,,,
2,ALL GOOD still sampling the apps,,,,
3,,I love it for reading books This is my first tablet. My old kindle fire died after 10 year and had to get a new one. I am still learning all the things this new Fire can do. I am 64 year old.,,,
4,,,,"Don't waste your money Tablet worked great when I bought it . it showed me my eyes cams and dropped in on my other echo devices and even operated and monitored my smart home features. Then after not using it for a wile (about 2months) I come back to it and nothing seams to work properly can't drop in can't see cams, Alexa app don't open . so I contact Amazon tech support they spend exactly47min 41sec trying to fix the problem only to tell me that ""THEIR""  tech support would have to get back to me its a software issue that's affecting only my 1device out of the all 8 and no one else. You would think by this point they would say send it in for repair or replacement. But apparently that's not the case .  what I have now is a useless paperweight. buy a name brand product that starts with an S or an A  THEY ACTUALLY KNOW HOW TO PROVIDE CUSTOMER SERVICE AND SUPPORT",
5,,Good for reading It works very well for reading and I love the light doesn’t keep anyone up or distracted while I’m using it. The sound could be better with a louder volume quality.,,,
6,,Excellent Kindle This Kindle HD is exceptional. The screen quality is amazing and the touch screen is great. My daughter loves it and has used it constantly since she opened it.,,,
7,,,"Hardware is solid for base functions; what happened to the apps/ If you have had a kindle before you will not find any surprises in terms of it functionality. It's a nice simple to use tablet. I am happy with it as a piece of hardware. My only complaints is half my apps, including the ad blocker I had for browsing on silk, are 'no longer compatible'. Throttled Android a little much this time round.",,
8,,Touch screen Not a fan of the touch screen because playing a game with a timer sometimes you can’t punch in what you want. You have to go out & come back in.,,,
9,"Great experience Playing games, watching videos and social media",,,,
